Date,AB Global High Yield AA HKD Inc,CSOP Select US Dollar Bd A HKD Acc,E Fund (HK) HKD Mny Mkt B HKD Acc,Harvest China A Research Select A HKD,AB SICAV I Low Volatility Eq A HKD Acc,CUAM China-Hong Kong Strategy A,E Fund (HK) Select Asia HY Bd A HKD Inc,Harvest China Equity A HKD Acc,Allianz Global Artfcl Intlgc AT HKD,ChinaAMC Select Fixed Inc Allc A HKD Acc,E Fund (HK) China Equity Div A HKD Inc,Harvest China Income A HKD Inc,Allianz Income and Growth AM HKD,Da Cheng China Balanced A (HKD),Franklin Biotechnology Discv A(acc)HKD,Janus Henderson Balanced A2 HKD,Allianz US Short Dur Hi Inc Bd AM HKD,Da Cheng Overseas China Concept A HKD,Franklin Technology A Acc HKD,Templeton Em Mkts Dyn Inc A MDis HKD,Bosera Orient Sun Rise Grt CNH Bd A HKD,E Fund (HK) Grtr Chn Leaders A HKD Acc,Franklin US Government A(acc)HKD
7/24/14,0.000596913106506447,0.0,0.0,0.014165191125924403,0.001424224768563409,0.0,0.0,0.007076285812909866,0.0,0.0,0.0,0.0,0.0,0.0010193679918450993,-0.015384615384615219,-0.0014705882352941124,0.0,0.0,0.0053929121725733165,0.0,0.0,0.0,-0.0018050541516244634
7/25/14,-0.0006817794443497727,0.0,0.0,0.005751258087706601,-0.004977697330144193,0.0,0.0,0.0019708654670094194,0.0,0.0,0.0,0.0,-0.0028598665395613843,0.006109979633401208,-0.006009615384615419,-0.0007363770250368162,0.0,0.0,-0.01226053639846747,0.0,0.0,0.0,0.0009041591320071429
7/26/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/27/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/28/14,-0.0006822445846835778,0.0,0.0,0.018993158378433517,0.0004547817047817482,0.0,0.0,0.009150773967330883,0.0,0.0,0.0,0.0,-0.002868068833652093,0.011133603238866252,-0.0072551390568317276,0.0007369196757553986,0.0,0.0,-0.0007757951900697613,0.0,0.0,0.0,0.0
7/29/14,-0.0013654207202594693,0.0,0.0,0.003908207235193917,-0.003506721215663533,0.0,0.0,0.0029661016949151797,0.0,0.0,0.0,0.0,0.0009587727708533222,0.009009009009008917,0.018879415347137662,-0.0022091310751104487,0.0,0.0,-0.0031055900621118626,0.0,0.0,0.0,0.0009033423667570428
7/30/14,-0.0012818321654417542,0.0,0.0,-0.0005989219405071466,-0.0010426849136526695,0.0,0.0,-0.005999155048584615,0.0,0.0,0.0,0.0,-0.0019157088122604415,0.0009920634920634885,0.013150029886431547,-0.002952029520295274,0.0,0.0,0.014018691588784993,0.0,0.0,0.0,-0.0027075812274367506
7/31/14,-0.010610079575596898,0.0,0.0,0.008589692369157076,-0.010568204057668451,0.0,0.0,0.005015300918055132,0.0,0.0,0.0,0.0,-0.0028790786948176272,0.003964321110009994,-0.02595870206489659,-0.00962250185048108,0.0,0.0,-0.021505376344086002,0.0,0.0,0.0,0.0
8/1/14,-0.003372827120989408,0.0,0.0,-0.004159239453357166,-0.003626293927605828,0.0,0.0,-0.01099551721221348,0.0,0.0,0.0,0.0,-0.007699711260827691,-0.010858835143139345,-0.00181708055723806,-0.001494768310911887,0.0,0.0,0.0,0.0,0.0,0.0,0.0036199095022624306
8/2/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8/3/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8/4/14,0.0006942034015966492,0.0,0.0,0.01501591089896559,0.0025807305452618667,0.0,0.0,0.00838108269905069,0.0,0.0,0.0,0.0,-0.0029097963142581396,0.011976047904191711,0.00910194174757284,0.0029940119760478723,0.0,0.0,0.008634222919937207,0.0,0.0,0.0,0.0009017132551847329
8/5/14,0.0,0.0,0.0,9.797198001382235e-05,-0.006138208699095649,0.0,0.0,0.0033924179458910686,0.0,0.0,0.0,0.0,0.0,0.002958579881656709,0.0,-0.00223880597014936,0.0,0.0,-0.005447470817120603,0.0,0.0,0.0,0.0
8/6/14,-0.0013007284079084025,0.0,0.0,-0.006465517241379226,6.640988179040797e-05,0.0,0.0,-0.0033809483560138798,0.0,0.0,0.0,0.0,-0.0019455252918287869,0.000983284169124854,-0.0006013229104027129,0.0,0.0,0.0,-0.0007824726134585402,0.0,0.0,0.0,-0.0009009009009008917
8/7/14,0.0007814535035166603,0.0,0.0,-0.007296391244330458,-0.004581977554950489,0.0,0.0,-0.011279789670087359,0.0,0.0,0.0,0.0,0.0009746588693957392,-0.007858546168958758,-0.010830324909747224,-0.0007479431563200967,0.0,0.0,-0.001566170712607673,0.0,0.0,0.0,0.0018034265103696878
8/8/14,0.0,0.0,0.0,0.003277711561382679,0.003669112741827796,0.0,0.0,-0.0006862240521530172,0.0,0.0,0.0,0.0,-0.0019474196689386325,0.004950495049504955,0.021289537712895212,0.0037425149700598404,0.0,0.0,0.008627450980392082,0.0,0.0,0.0,-0.0009000900090009312
8/9/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8/10/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8/11/14,0.0026895714037826757,0.0,0.0,0.01217701217701217,0.005117979395147909,0.0,0.0,0.015278969957081445,0.0,0.0,0.0,0.0,0.005853658536585371,0.012807881773398977,0.010720667063728317,0.00298284862043241,0.0,0.0,0.007776049766718529,0.0,0.0,0.0,-0.0009009009009008917
8/12/14,0.001297914683741519,0.0,0.0,-0.004205790297339473,0.0005290305515144311,0.0,0.0,0.008539059857964215,0.0,0.0,0.0,0.0,0.0009699321047527132,0.0009727626459143934,-0.003535651149086494,-0.0014869888475835813,0.0,0.0,-0.00462962962962965,0.0,0.0,0.0,0.0
8/13/14,0.0019875561700657407,0.0,0.0,-0.002062665749926418,0.004560475875743597,0.0,0.0,0.008131444379243957,0.0,0.0,0.0,0.0,0.0009689922480620172,0.0009718172983481654,0.023654642223536193,0.004467609828741725,0.0,0.0,0.010077519379844802,0.0,0.0,0.0,0.0018034265103696878
8/14/14,0.0026735661923242837,0.0,0.0,-0.0031496062992125706,0.00559247318902556,0.0,0.0,-0.005820721769499437,0.0,0.0,0.0,0.0,0.0029041626331074433,-0.003883495145631133,0.012709416522241668,0.002965159377316562,0.0,0.0,0.0038372985418266836,0.0,0.0,0.0,0.0
