Date,Harvest China Equity A HKD Acc
5/29/17,130.11
5/30/17,130.11
5/31/17,129.92
6/1/17,130.2
6/2/17,130.76
6/3/17,130.76
6/4/17,130.76
6/5/17,130.89
6/6/17,131.49
6/7/17,131.77
6/8/17,133.28
6/9/17,134.37
6/10/17,134.37
6/11/17,134.37
6/12/17,131.82
6/13/17,132.61
6/14/17,132.6
6/15/17,131.23
6/16/17,131.2
6/17/17,131.2
6/18/17,131.2
6/19/17,132.4
6/20/17,133.05
6/21/17,132.53
6/22/17,133.68
6/23/17,133.82
6/24/17,133.82
6/25/17,133.82
6/26/17,135.03
6/27/17,134.93
6/28/17,133.31
6/29/17,134.89
6/30/17,133.96
7/1/17,133.96
7/2/17,133.96
7/3/17,134.46
7/4/17,132.28
7/5/17,133.47
7/6/17,134.64
7/7/17,133.68
7/8/17,133.68
7/9/17,133.68
7/10/17,134.04
7/11/17,136.48
7/12/17,137.18
7/13/17,139.19
7/14/17,139.48
7/15/17,139.48
7/16/17,139.48
7/17/17,140.77
7/18/17,140.67
7/19/17,143.41
7/20/17,143.92
7/21/17,143.18
7/22/17,143.18
7/23/17,143.18
7/24/17,144.28
7/25/17,143.8
7/26/17,143.55
7/27/17,145.34
7/28/17,143.83
7/29/17,143.83
7/30/17,143.83
7/31/17,146.31
8/1/17,146.44
8/2/17,146.66
8/3/17,145.1
8/4/17,146.23
8/5/17,146.23
8/6/17,146.23
8/7/17,147.38
8/8/17,149.62
8/9/17,149.12
8/10/17,147.49
8/11/17,142.44
8/12/17,142.44
8/13/17,142.44
8/14/17,144.65
8/15/17,144.74
8/16/17,146.23
8/17/17,146.57
8/18/17,145.21
8/19/17,145.21
8/20/17,145.21
8/21/17,146.29
8/22/17,148.4
8/23/17,148.4
8/24/17,149.87
8/25/17,150.66
8/26/17,150.66
8/27/17,150.66
8/28/17,149.28
8/29/17,148.22
8/30/17,150.08
8/31/17,151.23
9/1/17,151.71
9/2/17,151.71
9/3/17,151.71
9/4/17,151.26
9/5/17,152.09
9/6/17,151.41
9/7/17,151.28
9/8/17,151.94
9/9/17,151.94
9/10/17,151.94
9/11/17,152.51
9/12/17,154.48
