Date,Franklin Biotechnology Discv A(acc)HKD
12/3/16,17.9
12/4/16,17.9
12/5/16,18.1
12/6/16,18.32
12/7/16,17.83
12/8/16,17.86
12/9/16,17.89
12/10/16,17.89
12/11/16,17.89
12/12/16,17.66
12/13/16,17.61
12/14/16,17.65
12/15/16,17.81
12/16/16,17.92
12/17/16,17.92
12/18/16,17.92
12/19/16,17.68
12/20/16,17.94
12/21/16,17.69
12/22/16,17.62
12/23/16,18.09
12/24/16,18.09
12/25/16,18.09
12/26/16,18.09
12/27/16,17.97
12/28/16,17.72
12/29/16,17.63
12/30/16,17.49
12/31/16,17.49
1/1/17,17.49
1/2/17,17.49
1/3/17,17.74
1/4/17,18.24
1/5/17,18.34
1/6/17,18.55
1/7/17,18.55
1/8/17,18.55
1/9/17,18.89
1/10/17,18.92
1/11/17,18.39
1/12/17,18.52
1/13/17,18.67
1/14/17,18.67
1/15/17,18.67
1/16/17,18.67
1/17/17,18.24
1/18/17,18.38
1/19/17,18.24
1/20/17,18.12
1/21/17,18.12
1/22/17,18.12
1/23/17,17.93
1/24/17,17.9
1/25/17,18.04
1/26/17,18.07
1/27/17,18.2
1/28/17,18.2
1/29/17,18.2
1/30/17,17.96
1/31/17,18.47
2/1/17,18.62
2/2/17,18.51
2/3/17,18.74
2/4/17,18.74
2/5/17,18.74
2/6/17,18.7
2/7/17,18.64
2/8/17,18.83
2/9/17,19.07
2/10/17,18.98
2/11/17,18.98
2/12/17,18.98
2/13/17,19.08
2/14/17,19.29
2/15/17,19.56
2/16/17,19.38
2/17/17,19.55
2/18/17,19.55
2/19/17,19.55
2/20/17,19.55
2/21/17,19.46
2/22/17,19.3
2/23/17,19.19
2/24/17,19.32
2/25/17,19.32
2/26/17,19.32
2/27/17,19.96
2/28/17,19.9
3/1/17,20.1
3/2/17,19.98
3/3/17,20.18
3/4/17,20.18
3/5/17,20.18
3/6/17,20.04
3/7/17,19.75
3/8/17,19.96
3/9/17,20.07
3/10/17,20.26
3/11/17,20.26
3/12/17,20.26
3/13/17,20.31
3/14/17,20.04
3/15/17,20.36
3/16/17,20.09
3/17/17,19.94
3/18/17,19.94
3/19/17,19.94
3/20/17,19.98
3/21/17,19.3
3/22/17,19.4
3/23/17,19.36
3/24/17,19.5
3/25/17,19.5
3/26/17,19.5
3/27/17,19.68
3/28/17,19.54
3/29/17,19.72
3/30/17,19.61
3/31/17,19.67
4/1/17,19.67
4/2/17,19.67
4/3/17,19.51
4/4/17,19.5
4/5/17,19.2
4/6/17,19.19
4/7/17,19.28
4/8/17,19.28
4/9/17,19.28
4/10/17,19.18
4/11/17,19.11
4/12/17,19.19
4/13/17,19.43
4/14/17,19.43
4/15/17,19.43
4/16/17,19.43
4/17/17,19.4
4/18/17,19.2
4/19/17,19.31
4/20/17,19.31
4/21/17,19.13
4/22/17,19.13
4/23/17,19.13
4/24/17,19.4
4/25/17,19.67
4/26/17,19.73
4/27/17,19.78
4/28/17,19.79
4/29/17,19.79
4/30/17,19.79
5/1/17,19.92
5/2/17,19.71
5/3/17,19.55
5/4/17,19.6
5/5/17,19.42
